TH, 0.0392
HE, 0.03089
IN, 0.0196
ER, 0.01821
IT, 0.01504
AT, 0.01425
HA, 0.01386
RE, 0.01326
ST, 0.01267
AN, 0.01227
EN, 0.01188
AS, 0.01148
EA, 0.01128
OU, 0.01089
ET, 0.01069
IS, 0.01049
TI, 0.01029
NG, 0.01009
ES, 0.0099
ND, 0.0099
OR, 0.0097
OF, 0.0095
TO, 0.0091
ED, 0.00891
HI, 0.00891
NT, 0.00891
ON, 0.00891
WA, 0.00871
TE, 0.00772
VE, 0.00772
AL, 0.00752
AR, 0.00732
LI, 0.00712
ME, 0.00693
SA, 0.00693
SI, 0.00693
SO, 0.00693
TA, 0.00673
TT, 0.00673
CE, 0.00653
RI, 0.00633
EO, 0.00613
NO, 0.00613
EL, 0.00594
SE, 0.00594
WE, 0.00594
EI, 0.00574
EW, 0.00574
SH, 0.00574
HO, 0.00554
LE, 0.00554
RO, 0.00554
EE, 0.00534
LL, 0.00534
LY, 0.00534
RT, 0.00534
BE, 0.00514
IC, 0.00495
DE, 0.00475
EH, 0.00475
RA, 0.00475
TS, 0.00475
UT, 0.00475
DA, 0.00455
UR, 0.00455
AD, 0.00435
OS, 0.00435
OT, 0.00435
OW, 0.00435
DO, 0.00415
FO, 0.00415
LA, 0.00415
NE, 0.00415
TW, 0.00415
WI, 0.00415
CO, 0.00396
DT, 0.00396
FT, 0.00396
HT, 0.00396
NS, 0.00396
GH, 0.00376
MA, 0.00376
DS, 0.00356
EC, 0.00356
IR, 0.00356
OM, 0.00356
SS, 0.00356
AB, 0.00336
AI, 0.00336
DI, 0.00336
IM, 0.00336
NA, 0.00336
NI, 0.00336
OO, 0.00336
EM, 0.00316
GE, 0.00316
ID, 0.00316
KE, 0.00316
RS, 0.00316
US, 0.00316
IO, 0.00297
LD, 0.00297
MO, 0.00297
NC, 0.00297
PE, 0.00297
TU, 0.00297
EV, 0.00277
LO, 0.00277
OL, 0.00277
PO, 0.00277
WO, 0.00277
AC, 0.00257
CH, 0.00257
EF, 0.00257
EP, 0.00257
IE, 0.00257
UL, 0.00257
